,ModV-PosToNeg,Comm,CBM,CHB,PC,KshellWithCommunity,CBC
ModV-PosToNeg,1.0,-0.17338826642521804,-0.22897498168635833,-0.4573716828199392,-0.5430999596847087,-0.05993781490967405,-0.09436732217715936
Comm,-0.17338826642521804,1.0,0.7187384480663297,0.4296657022490582,0.4383713036734235,0.6441429077861809,0.6682999481954355
CBM,-0.22897498168635833,0.7187384480663297,1.0,0.5390071258870598,0.4852962879558602,0.7627184850583214,0.7697200115827182
CHB,-0.4573716828199392,0.4296657022490582,0.5390071258870598,1.0,0.5236524088761015,0.4249852220276648,0.4884258695679023
PC,-0.5430999596847087,0.4383713036734235,0.4852962879558602,0.5236524088761015,1.0,0.28368779429506763,0.27876221499555637
KshellWithCommunity,-0.05993781490967405,0.6441429077861809,0.7627184850583214,0.4249852220276648,0.28368779429506763,1.0,0.8300629339137678
CBC,-0.09436732217715936,0.6682999481954355,0.7697200115827182,0.4884258695679023,0.27876221499555637,0.8300629339137678,1.0
