,ModV-PosToNeg,Comm,CBM,CHB,PC,KshellWithCommunity,CBC
ModV-PosToNeg,1.0,-0.002894701079071889,-0.4754571060669834,-0.4744589257510784,-0.5299345467147858,-0.3287377125532592,-0.33816220937826397
Comm,-0.002894701079071889,1.0,0.6104932824165465,-0.08479761326264626,0.5648441395012098,0.5757473660078126,0.22460844286726356
CBM,-0.4754571060669834,0.6104932824165465,1.0,0.33441835848373447,0.8238624978278817,0.7794800532072595,0.549150211416482
CHB,-0.4744589257510784,-0.08479761326264626,0.33441835848373447,1.0,0.32988739906769043,0.31684512320498487,0.602872730944048
PC,-0.5299345467147858,0.5648441395012098,0.8238624978278817,0.32988739906769043,1.0,0.7017675513277271,0.4559741815099282
KshellWithCommunity,-0.3287377125532592,0.5757473660078126,0.7794800532072595,0.31684512320498487,0.7017675513277271,1.0,0.5831404286231808
CBC,-0.33816220937826397,0.22460844286726356,0.549150211416482,0.602872730944048,0.4559741815099282,0.5831404286231808,1.0
