,ModV-PosToNeg,Comm,CBM,CHB,PC,KshellWithCommunity,CBC
ModV-PosToNeg,1.0,0.016994383581505807,-0.35713074071240253,-0.09753848526755897,-0.4246935578212611,0.13006712454050057,0.020236258932076562
Comm,0.016994383581505807,1.0,0.4736066898646431,-0.30252608778306844,0.4516668825644116,0.26721897572445796,0.06071332645556407
CBM,-0.35713074071240253,0.4736066898646431,1.0,0.04681786573248664,0.7230087776060758,0.38796636564929726,0.3075154215882143
CHB,-0.09753848526755897,-0.30252608778306844,0.04681786573248664,1.0,-0.054513266443743616,0.28266815234164133,0.5611909278366213
PC,-0.4246935578212611,0.4516668825644116,0.7230087776060758,-0.054513266443743616,1.0,0.1740124885679081,0.1263532971226202
KshellWithCommunity,0.13006712454050057,0.26721897572445796,0.38796636564929726,0.28266815234164133,0.1740124885679081,1.0,0.6854092639483165
CBC,0.020236258932076562,0.06071332645556407,0.3075154215882143,0.5611909278366213,0.1263532971226202,0.6854092639483165,1.0
