,ModV-PosToNeg,Comm,CBM,CHB,PC,KshellWithCommunity,CBC
ModV-PosToNeg,1.0,0.207929341901521,-0.03475381894658674,-0.35237786445442265,0.051362165854855674,-0.19862952070810116,-0.48254724656382
Comm,0.207929341901521,1.0,0.5085447959518723,-0.34613540087046846,0.5061895159329043,0.3002610149174838,0.06065111905916184
CBM,-0.03475381894658674,0.5085447959518723,1.0,0.03999146102758343,0.6881420817790309,0.6027666242195138,0.40374350934391456
CHB,-0.35237786445442265,-0.34613540087046846,0.03999146102758343,1.0,-0.1588000100323431,0.30626922356570535,0.5291324037891442
PC,0.051362165854855674,0.5061895159329043,0.6881420817790309,-0.1588000100323431,1.0,0.32725386065976886,0.19031405591096132
KshellWithCommunity,-0.19862952070810116,0.3002610149174838,0.6027666242195138,0.30626922356570535,0.32725386065976886,1.0,0.6643138028446248
CBC,-0.48254724656382,0.06065111905916184,0.40374350934391456,0.5291324037891442,0.19031405591096132,0.6643138028446248,1.0
