,ModV-PosToNeg,Comm,CBM,CHB,PC,KshellWithCommunity,CBC
ModV-PosToNeg,1.0,0.07587290538057052,-0.28641824042557296,-0.16178433530319675,-0.32081744186863265,0.2238068643688512,0.07001080479937986
Comm,0.07587290538057052,1.0,0.4784571578500641,-0.09962367437486763,0.5175571479869117,0.30666335858142,0.16580950181427542
CBM,-0.28641824042557296,0.4784571578500641,1.0,0.258234477644867,0.7760462398955794,0.3870344858454394,0.3854507918060745
CHB,-0.16178433530319675,-0.09962367437486763,0.258234477644867,1.0,0.15298028247836837,0.3949266811316238,0.62646368271224
PC,-0.32081744186863265,0.5175571479869117,0.7760462398955794,0.15298028247836837,1.0,0.21432494592649778,0.230136082668729
KshellWithCommunity,0.2238068643688512,0.30666335858142,0.3870344858454394,0.3949266811316238,0.21432494592649778,1.0,0.7432617961135567
CBC,0.07001080479937986,0.16580950181427542,0.3854507918060745,0.62646368271224,0.230136082668729,0.7432617961135567,1.0
