,ModV-PosToNeg,Comm,CBM,CHB,PC,KshellWithCommunity,CBC
ModV-PosToNeg,1.0,0.017748465500299963,-0.24468387861866936,-0.47154723375100244,-0.17271073042287147,-0.11932185499192362,-0.3218273055804041
Comm,0.017748465500299963,1.0,0.5671466620526229,-0.27220229190760886,0.48898187755477546,0.6152108125561015,0.3876468106873652
CBM,-0.24468387861866936,0.5671466620526229,1.0,0.10125696894165678,0.6432885155750617,0.7855104513252888,0.7350742146944771
CHB,-0.47154723375100244,-0.27220229190760886,0.10125696894165678,1.0,-0.10374810206648331,0.021358503531315576,0.31689506306114257
PC,-0.17271073042287147,0.48898187755477546,0.6432885155750617,-0.10374810206648331,1.0,0.464032349775511,0.4390771455085643
KshellWithCommunity,-0.11932185499192362,0.6152108125561015,0.7855104513252888,0.021358503531315576,0.464032349775511,1.0,0.7254390966741864
CBC,-0.3218273055804041,0.3876468106873652,0.7350742146944771,0.31689506306114257,0.4390771455085643,0.7254390966741864,1.0
