,ModV-PosToNeg,Comm,CBM,CHB,PC,KshellWithCommunity,CBC
ModV-PosToNeg,1.0,-0.39350684391715274,-0.21061047903967028,-0.18364748564064157,-0.09523567694800743,-0.6993731236490719,-0.8508068893808559
Comm,-0.39350684391715274,1.0,0.5742907597219731,-0.4851257936408358,0.5046887087226127,0.6451700208781643,0.4888127434193869
CBM,-0.21061047903967028,0.5742907597219731,1.0,-0.4884109677838994,0.8089994301688551,0.45114357616120143,0.3519897583129344
CHB,-0.18364748564064157,-0.4851257936408358,-0.4884109677838994,1.0,-0.6362721793792916,-0.0769680485833397,0.13513647415749142
PC,-0.09523567694800743,0.5046887087226127,0.8089994301688551,-0.6362721793792916,1.0,0.32169913386383575,0.22363871358915452
KshellWithCommunity,-0.6993731236490719,0.6451700208781643,0.45114357616120143,-0.0769680485833397,0.32169913386383575,1.0,0.8052200539176211
CBC,-0.8508068893808559,0.4888127434193869,0.3519897583129344,0.13513647415749142,0.22363871358915452,0.8052200539176211,1.0
