,ModV-PosToNeg,Comm,CBM,CHB,PC,KshellWithCommunity,CBC
ModV-PosToNeg,1.0,-0.2071803441478252,-0.4538995135105065,-0.3891353122222433,-0.6719980675722085,-0.026400106086990376,0.09107752943677107
Comm,-0.2071803441478252,1.0,0.5935408884929076,0.16962682399812626,0.4040373599033265,0.5099503743344385,0.16915000419857154
CBM,-0.4538995135105065,0.5935408884929076,1.0,0.2898057100492332,0.6227345667156227,0.5361253224139697,0.1995718146788407
CHB,-0.3891353122222433,0.16962682399812626,0.2898057100492332,1.0,0.29024392917292213,0.2550653926458569,0.39115253779463083
PC,-0.6719980675722085,0.4040373599033265,0.6227345667156227,0.29024392917292213,1.0,0.19355217355817564,-0.08535271794832197
KshellWithCommunity,-0.026400106086990376,0.5099503743344385,0.5361253224139697,0.2550653926458569,0.19355217355817564,1.0,0.48509981474530495
CBC,0.09107752943677107,0.16915000419857154,0.1995718146788407,0.39115253779463083,-0.08535271794832197,0.48509981474530495,1.0
