,ModV-PosToNeg,Comm,CBM,CHB,PC,KshellWithCommunity,CBC
ModV-PosToNeg,1.0,0.08535599111427171,-0.22809824204190834,-0.4335180878278142,-0.24276923225344685,-0.06893924394702686,-0.2290147946155103
Comm,0.08535599111427171,1.0,0.4990949941295312,-0.18781204241280255,0.5055015690434703,0.2319760580349077,0.14138334928103763
CBM,-0.22809824204190834,0.4990949941295312,1.0,0.05017569793029313,0.7400985785381371,0.20727198422739368,0.19794573165350995
CHB,-0.4335180878278142,-0.18781204241280255,0.05017569793029313,1.0,-0.047960626477734664,0.3978931627096974,0.5910778374042213
PC,-0.24276923225344685,0.5055015690434703,0.7400985785381371,-0.047960626477734664,1.0,0.009465236101558867,0.019638413111813073
KshellWithCommunity,-0.06893924394702686,0.2319760580349077,0.20727198422739368,0.3978931627096974,0.009465236101558867,1.0,0.7607341552965438
CBC,-0.2290147946155103,0.14138334928103763,0.19794573165350995,0.5910778374042213,0.019638413111813073,0.7607341552965438,1.0
