,ModV-PosToNeg,Comm,CBM,CHB,PC,KshellWithCommunity,CBC
ModV-PosToNeg,1.0,0.08039194680636738,0.07081129652911718,-0.4581689155865666,0.15024675662600967,-0.4813656808801821,-0.7123837568232281
Comm,0.08039194680636738,1.0,0.5327879720235901,-0.5872272592221206,0.6018335891572038,0.2833836697345651,0.11787331893361956
CBM,0.07081129652911718,0.5327879720235901,1.0,-0.33205636105514647,0.7405748087301457,0.298509213235576,0.2398725094269073
CHB,-0.4581689155865666,-0.5872272592221206,-0.33205636105514647,1.0,-0.5021147194072042,0.1544226449678988,0.376258966739551
PC,0.15024675662600967,0.6018335891572038,0.7405748087301457,-0.5021147194072042,1.0,0.11035820170656106,0.0802209349217163
KshellWithCommunity,-0.4813656808801821,0.2833836697345651,0.298509213235576,0.1544226449678988,0.11035820170656106,1.0,0.7374313192484021
CBC,-0.7123837568232281,0.11787331893361956,0.2398725094269073,0.376258966739551,0.0802209349217163,0.7374313192484021,1.0
