,ModV-PosToNeg,Comm,CBM,CHB,PC,KshellWithCommunity,CBC
ModV-PosToNeg,1.0,-0.04405094544889424,-0.19185568120568816,-0.1165453177610973,-0.2580180354507361,0.09439445883178654,0.03306618119204965
Comm,-0.04405094544889424,1.0,0.4533317596136499,-0.3045963628200707,0.4412412989479056,0.1749136628916168,0.020703930445509184
CBM,-0.19185568120568816,0.4533317596136499,1.0,-0.004297241168223723,0.4228804702673629,0.3643730809120552,0.2355347063780161
CHB,-0.1165453177610973,-0.3045963628200707,-0.004297241168223723,1.0,-0.30775403571208093,0.35120313362311484,0.5699928751892644
PC,-0.2580180354507361,0.4412412989479056,0.4228804702673629,-0.30775403571208093,1.0,-0.16506733797151266,-0.25015485140886584
KshellWithCommunity,0.09439445883178654,0.1749136628916168,0.3643730809120552,0.35120313362311484,-0.16506733797151266,1.0,0.7380918751326365
CBC,0.03306618119204965,0.020703930445509184,0.2355347063780161,0.5699928751892644,-0.25015485140886584,0.7380918751326365,1.0
