,ModV-PosToNeg,Comm,CBM,CHB,PC,KshellWithCommunity,CBC
ModV-PosToNeg,1.0,-0.0943853116891184,-0.5862509856304521,-0.28822822522360675,-0.6878769837034043,-0.19151727523249357,-0.07354222058649589
Comm,-0.0943853116891184,1.0,0.6188741967989123,0.06346147719634984,0.6118027058925254,0.526323923976102,0.3012691638255768
CBM,-0.5862509856304521,0.6188741967989123,1.0,0.2795680472402952,0.8317213945128785,0.6313930472398775,0.3699153974008167
CHB,-0.28822822522360675,0.06346147719634984,0.2795680472402952,1.0,0.28363861561385423,0.3589726164313804,0.5564064535943273
PC,-0.6878769837034043,0.6118027058925254,0.8317213945128785,0.28363861561385423,1.0,0.5508101645383188,0.27676049212996245
KshellWithCommunity,-0.19151727523249357,0.526323923976102,0.6313930472398775,0.3589726164313804,0.5508101645383188,1.0,0.6056859724372473
CBC,-0.07354222058649589,0.3012691638255768,0.3699153974008167,0.5564064535943273,0.27676049212996245,0.6056859724372473,1.0
