,ModV-PosToNeg,Comm,CBM,CHB,PC,KshellWithCommunity,CBC
ModV-PosToNeg,1.0,-0.45537167745828333,-0.6415229268139877,-0.4255359843014073,-0.3814052630141423,-0.5822085731578103,-0.397789679398783
Comm,-0.45537167745828333,1.0,0.5959479773278833,0.13294612381743773,0.43633740852429104,0.3346438295096492,0.09953773818917667
CBM,-0.6415229268139877,0.5959479773278833,1.0,0.3136417847556034,0.5309350271484806,0.5590160326029517,0.2846309754776191
CHB,-0.4255359843014073,0.13294612381743773,0.3136417847556034,1.0,0.2965117736393741,0.33312608289623147,0.5402177756252994
PC,-0.3814052630141423,0.43633740852429104,0.5309350271484806,0.2965117736393741,1.0,0.14937137750521534,-0.012806654481128927
KshellWithCommunity,-0.5822085731578103,0.3346438295096492,0.5590160326029517,0.33312608289623147,0.14937137750521534,1.0,0.5049531046339961
CBC,-0.397789679398783,0.09953773818917667,0.2846309754776191,0.5402177756252994,-0.012806654481128927,0.5049531046339961,1.0
