,ModV-PosToNeg,Comm,CBM,CHB,PC,KshellWithCommunity,CBC
ModV-PosToNeg,1.0,-0.2348966720390439,-0.43315169104637324,-0.27855380412794156,-0.6457393505449186,-0.21494696161366433,-0.18642951017479803
Comm,-0.2348966720390439,1.0,0.5602005778717832,0.09617534136903079,0.5409676438908825,0.47128388223409706,0.2632460614143555
CBM,-0.43315169104637324,0.5602005778717832,1.0,0.4535645881875266,0.7401034557903474,0.773745880311921,0.5713437388188526
CHB,-0.27855380412794156,0.09617534136903079,0.4535645881875266,1.0,0.3963918976751336,0.5078920713346794,0.6524449257993434
PC,-0.6457393505449186,0.5409676438908825,0.7401034557903474,0.3963918976751336,1.0,0.5780230696015564,0.42433186916538485
KshellWithCommunity,-0.21494696161366433,0.47128388223409706,0.773745880311921,0.5078920713346794,0.5780230696015564,1.0,0.681264505947532
CBC,-0.18642951017479803,0.2632460614143555,0.5713437388188526,0.6524449257993434,0.42433186916538485,0.681264505947532,1.0
