,ModV-PosToNeg,Comm,CBM,CHB,PC,KshellWithCommunity,CBC
ModV-PosToNeg,1.0,-0.14907836443934885,-0.24337861311220363,-0.3388122938915877,-0.2550275478387049,-0.22023585629898448,-0.2546953280995494
Comm,-0.14907836443934885,1.0,0.7534191764571053,0.13034718959625632,0.38890544024783547,0.6913585252441301,0.6091105675819892
CBM,-0.24337861311220363,0.7534191764571053,1.0,0.19718058425520715,0.48761723226767595,0.7591983946118604,0.655763428944007
CHB,-0.3388122938915877,0.13034718959625632,0.19718058425520715,1.0,-0.09736520874001105,0.3363528536344461,0.4429648099685134
PC,-0.2550275478387049,0.38890544024783547,0.48761723226767595,-0.09736520874001105,1.0,0.2823112113265046,0.1920876834084677
KshellWithCommunity,-0.22023585629898448,0.6913585252441301,0.7591983946118604,0.3363528536344461,0.2823112113265046,1.0,0.7869318485153667
CBC,-0.2546953280995494,0.6091105675819892,0.655763428944007,0.4429648099685134,0.1920876834084677,0.7869318485153667,1.0
